threshold,BPCER,APCER
7.226435595752978e-12,0.0,0.9996296296296296
3.028155157180912e-11,0.0,0.9992592592592593
7.900418513839824e-11,0.0,0.9988888888888889
9.167114289887479e-11,0.0,0.9985185185185185
1.348717942883937e-10,0.0,0.9981481481481481
1.4844853124529322e-10,0.0,0.9977777777777778
1.7682992570211553e-10,0.0,0.9974074074074074
1.8456866590632615e-10,0.0,0.997037037037037
2.925287234667451e-10,0.0,0.9966666666666667
3.2049984888260497e-10,0.0,0.9962962962962963
3.5161323852506143e-10,0.0,0.9959259259259259
3.764196732092273e-10,0.0,0.9955555555555555
3.867241804567101e-10,0.0,0.9951851851851852
4.455666946512338e-10,0.0,0.9948148148148148
4.526432284546189e-10,0.0,0.9944444444444445
4.6371062545347286e-10,0.0,0.9940740740740741
5.922153878401559e-10,0.0,0.9937037037037038
6.205757019372982e-10,0.0,0.9933333333333333
6.236449134888744e-10,0.0,0.9929629629629629
6.561278742545085e-10,0.0,0.9925925925925926
6.657409068466791e-10,0.0,0.9922222222222222
6.889550596689276e-10,0.0,0.9918518518518519
6.906952787488763e-10,0.0,0.9914814814814815
7.246176436659368e-10,0.0,0.9911111111111112
7.328492257485664e-10,0.0,0.9907407407407407
7.581224537034359e-10,0.0,0.9903703703703703
7.727006812174864e-10,0.0,0.99
8.238255633230551e-10,0.0,0.9896296296296296
8.349476665614475e-10,0.0,0.9892592592592593
8.398850503965605e-10,0.0,0.9888888888888889
9.651563992463252e-10,0.0,0.9885185185185185
9.756644381297974e-10,0.0,0.9881481481481481
9.921872212714788e-10,0.0,0.9877777777777778
1.0377556591834036e-09,0.0,0.9874074074074074
1.1258101118016839e-09,0.0,0.987037037037037
1.2712553232319124e-09,0.0,0.9866666666666667
1.4961504257726688e-09,0.0,0.9862962962962963
1.5438169631565302e-09,0.0,0.9859259259259259
1.5544584508475623e-09,0.0,0.9855555555555555
1.5644516793145158e-09,0.0,0.9851851851851852
1.567708851624161e-09,0.0,0.9848148148148148
1.7303056765172187e-09,0.0,0.9844444444444445
1.7379842010001312e-09,0.0,0.9840740740740741
1.749965061748071e-09,0.0,0.9837037037037037
1.7656787143494057e-09,0.0,0.9833333333333333
1.7753907233242217e-09,0.0,0.9829629629629629
1.85381765493986e-09,0.0,0.9825925925925926
1.8745613949988638e-09,0.0,0.9822222222222222
1.8913224320016297e-09,0.0,0.9818518518518519
1.919414183149115e-09,0.0,0.9814814814814815
1.919971959196687e-09,0.0,0.9811111111111112
1.947341843333561e-09,0.0,0.9807407407407407
1.951745876027644e-09,0.0,0.9803703703703703
1.98501881598645e-09,0.0,0.98
2.0409172130086972e-09,0.0,0.9796296296296296
2.174742164129384e-09,0.0,0.9792592592592593
2.2537531840782776e-09,0.0,0.9788888888888889
2.276332899953104e-09,0.0,0.9785185185185186
2.2867683302507658e-09,0.0,0.9781481481481481
2.304618940129899e-09,0.0,0.9777777777777777
2.352594341559211e-09,0.0,0.9774074074074074
2.3962587469839036e-09,0.0,0.977037037037037
2.4048993907399563e-09,0.0,0.9766666666666667
2.454129344187095e-09,0.0,0.9762962962962963
2.5329298658505195e-09,0.0,0.975925925925926
2.5343938059307902e-09,0.0,0.9755555555555555
2.5988105001317763e-09,0.0,0.9751851851851852
2.7740969521516945e-09,0.0,0.9748148148148148
2.81773759880366e-09,0.0,0.9744444444444444
2.8778321947697805e-09,0.0,0.9740740740740741
3.0274938112029304e-09,0.0,0.9737037037037037
3.1383993182032555e-09,0.0,0.9733333333333334
3.148488580961839e-09,0.0,0.9729629629629629
3.2349363188188818e-09,0.0,0.9725925925925926
3.257774494613841e-09,0.0,0.9722222222222222
3.315225427513724e-09,0.0,0.9718518518518519
3.4178957442065894e-09,0.0,0.9714814814814815
3.4277105598334856e-09,0.0,0.9711111111111111
3.479603716272095e-09,0.0,0.9707407407407408
3.4868086196127024e-09,0.0,0.9703703703703703
3.5453369129356815e-09,0.0,0.97
3.545495008694388e-09,0.0,0.9696296296296296
3.5604865722405066e-09,0.0,0.9692592592592593
3.5607734538700697e-09,0.0,0.9688888888888889
3.5748342064323424e-09,0.0,0.9685185185185186
3.620586497277145e-09,0.0,0.9681481481481482
3.624822664249905e-09,0.0,0.9677777777777777
3.73584674306926e-09,0.0,0.9674074074074074
3.761000400004377e-09,0.0,0.967037037037037
3.848931839911529e-09,0.0,0.9666666666666667
3.85310627848412e-09,0.0,0.9662962962962963
4.013086751797346e-09,0.0,0.965925925925926
4.180372492612605e-09,0.0,0.9655555555555555
4.2956012080708206e-09,0.0,0.9651851851851851
4.331272673852027e-09,0.0,0.9648148148148148
4.331828229453549e-09,0.0,0.9644444444444444
4.352227023218802e-09,0.0,0.9640740740740741
4.375878326356997e-09,0.0,0.9637037037037037
4.410558585021818e-09,0.0,0.9633333333333334
4.413744481013282e-09,0.0,0.9629629629629629
4.456770952288025e-09,0.0,0.9625925925925926
4.504065564958637e-09,0.0,0.9622222222222222
4.659244545734964e-09,0.0,0.9618518518518518
4.659547414576082e-09,0.0,0.9614814814814815
4.735673631017789e-09,0.0,0.9611111111111111
4.7711292694430085e-09,0.0,0.9607407407407408
4.789617591427486e-09,0.0,0.9603703703703703
4.948430998297226e-09,0.0,0.96
5.057790630758063e-09,0.0,0.9596296296296296
5.061955743457247e-09,0.0,0.9592592592592593
5.1013882007566735e-09,0.0,0.9588888888888889
5.137390068910008e-09,0.0,0.9585185185185185
5.156292282038066e-09,0.0,0.9581481481481482
5.2260813454552135e-09,0.0,0.9577777777777777
5.39633848717358e-09,0.0,0.9574074074074074
